219 categories and their parents:
  OST_MEPSpaces --> Spaces (-2003600
  OST_StackedWalls <none>
  OST_MassGlazingAll <none>
  OST_MassFloorsAll <none>
  OST_MassWallsAll <none>
  OST_MassExteriorWallUnderground <none>
  OST_MassSlab <none>
  OST_MassShade <none>
  OST_MassOpening --> Mass Opening (-2003417
  OST_MassSkylights --> Mass Skylight (-2003416
  OST_MassWindow --> Mass Glazing (-2003415
  OST_MassRoof --> Mass Roof (-2003414
  OST_MassExteriorWall --> Mass Exterior Wall (-2003413
  OST_MassInteriorWall --> Mass Interior Wall (-2003412
  OST_MassZone --> Mass Zone (-2003411
  OST_MassAreaFaceTags --> Mass Floor Tags (-2003410
  OST_HostTemplate InvalidOperationException 
  OST_MassFaceSplitter InvalidOperationException 
  OST_MassCutter InvalidOperationException 
  OST_ZoningEnvelope InvalidOperationException 
  OST_MassTags --> Mass Tags (-2003405
  OST_MassForm --> Form (-2003404
  OST_MassFloor --> Mass Floor (-2003403
  OST_Mass --> Mass (-2003400
  OST_DividedSurface_DiscardedDivisionLines <none>
  OST_DividedSurfaceBelt <none>
  OST_TilePatterns <none>
  OST_AlwaysExcludedInAllViews <none>
  OST_DividedSurface_TransparentFace <none>
  OST_DividedSurface_PreDividedSurface <none>
  OST_DividedSurface_PatternFill --> Pattern Fill (-2003327
  OST_DividedSurface_PatternLines --> Pattern Lines (-2003326
  OST_DividedSurface_Gridlines --> Gridlines (-2003325
  OST_DividedSurface_Nodes --> Nodes (-2003324
  OST_DividedSurface <none>
  OST_RepeatingDetailLines <none>
  OST_RampsDownArrow --> Down Arrow (-2003308
  OST_RampsUpArrow --> Up Arrow (-2003307
  OST_RampsDownText --> DOWN text (-2003306
  OST_RampsUpText --> UP text (-2003305
  OST_RampsStringerAboveCut --> Stringers Beyond Cut Line (-2003304
  OST_RampsStringer --> Stringers (-2003303
  OST_RampsAboveCut --> Ramps Beyond Cut Line (-2003302
  OST_RampsIncomplete <none>
